id,reputation,upvotes,downvotes,question_count,avg_question_score,avg_question_view_count,answer_count,accepted_answer_count,avg_answer_score,no_of_badges,gold_badge_count,silver_badge_count,bronze_badge_count,badge_score,net_user_upvotes
3998659,999,6,1,864,1,1431,864,24,1.291666667,864,0,288,576,1728,5
6656894,4679,352,34,155848,3.363636364,4964.090909,155848,53,1.64673913,155848,8096,48576,99176,374440,318
6786975,5542,471,196,10138,143,98127.5,10138,38,1.437956204,10138,822,4110,5206,29866,275
3004581,1875,148,19,60270,1.047619048,648.9047619,60270,27,1.085365854,60270,0,20664,39606,122262,129
861388,15008,27,54,574528,1.25,1118.375,574528,392,0.429973822,574528,12224,220032,342272,1344640,-27
8259771,3268,522,37,8507,1,925,8507,52,1.187845304,8507,362,2715,5430,19910,485
804976,3047,1101,49,61380,2.133333333,2825.866667,61380,21,3.741935484,61380,930,23250,37200,139500,1052
1102962,6905,77,20,7752,2,127,7752,67,4.191176471,7752,0,3400,4352,17952,57
4252320,6763,82,8,1178372,0.558139535,513.0465116,1178372,115,1.00678733,1178372,19006,285090,874276,2204696,74
2694444,8367,473,18,113080,3,992.625,113080,109,2.404669261,113080,0,41120,71960,236440,455
630261,3923,110,6,117645,6.565217391,12286.34783,117645,31,1.731182796,117645,4278,44919,68448,290904,104
45254,6458,418,10,93093,13.18181818,11042.90909,93093,53,7.397849462,93093,3069,33759,56265,221991,408
538471,13144,1185,110,5421096,3.660194175,3596.436893,5421096,102,2.562091503,5421096,441252,1828044,3151800,14876496,1075
1414,35027,1518,49,906015,13.68421053,11043.77193,906015,32,31.28235294,906015,101745,348840,455430,2868240,1469
1016388,2692,434,10,491660,1.276923077,1261.215385,491660,25,1.072580645,491660,16120,193440,282100,1217060,424
4335939,2767,788,7,12200,0,117,12200,63,0.672131148,12200,488,4880,6832,31232,781
1796914,4691,273,3,3510,3,316,3510,34,6.092307692,3510,65,1495,1950,8580,270
416352,4816,282,11,453474,3.305084746,5225.932203,453474,20,3.721311475,453474,35990,140361,277123,1198467,271
752920,6430,453,76,898008,5.290322581,7196.430108,898008,20,1.588235294,898008,69564,297228,531216,2415768,377
1820,34564,624,125,534717,37.47368421,31822.26316,534717,56,15.96855346,534717,60420,217512,256785,1731033,499
1343161,44913,2167,1455,866915,4.2,2529.2,866915,407,4.83979975,866915,27965,375530,463420,2245190,712
4079010,8349,991,73,453600,7.866666667,6525.333333,453600,100,1.206349206,453600,28350,155925,269325,1176525,918
182895,14129,1214,101,283710,1.142857143,1535.857143,283710,186,2.82642487,283710,5404,135100,143206,737646,1113
694331,70072,290,3,6190800,11.40298507,9398.686567,6190800,173,21.24727273,6190800,534325,2819025,2837450,19456800,287
1164726,10968,5006,8,210987,4.222222222,11661.11111,210987,72,4.624365482,210987,14184,85104,111699,593955,4998
3574492,5865,80,13,895128,2.947019868,4817.94702,895128,25,2.078947368,895128,51642,275424,568062,2186178,67
5825963,6318,512,23,2015496,0.483870968,487.5806452,2015496,122,0.950904393,2015496,71982,575856,1367658,4390902,489
7857701,1139,127,17,18848,0.875,304.125,18848,22,0.789473684,18848,0,4864,13984,33440,110
1179505,3169,103,0,4288,4,615,4288,18,3.895522388,4288,0,2144,2144,10720,103
7857707,2280,19,0,5292,5.5,3042,5292,21,3.673469388,5292,0,2156,3136,11760,19
804614,3128,983,12,44304,2.083333333,3128.25,44304,22,4.769230769,44304,1872,17472,24960,113568,971
6240387,2714,135,14,91008,1.666666667,1662.583333,91008,38,1.069620253,91008,1896,28440,60672,193392,121
11993840,817,42,23,4608,-0.25,486.75,4608,20,0.625,4608,0,1024,3584,7680,19
2035962,3085,45,10,18620,0.8,554.6,18620,35,4.816326531,18620,0,7840,10780,42140,35
1070654,1007,75,2,1886,-1,321,1886,21,1.43902439,1886,0,656,1230,3854,73
2557260,8847,100,12,29250,4,2229.666667,29250,92,4.94,29250,1350,12150,15750,77850,88
17978157,408,5,5,390,0,677,390,21,0.205128205,390,39,78,273,975,0
55351,47276,1928,61,2546342,25.78947368,22160.68421,2546342,163,6.623946037,2546342,191539,991496,1363307,7244681,1867
767881,23137,300,50,926100,2,638.5714286,926100,407,1.692857143,926100,41160,336140,548800,2304960,250
853847,2617,1534,3,24948,2,2791,24948,44,2.025974026,24948,1386,11781,11781,72765,1531
4483806,2300,1713,72,7350,6.5,717.5,7350,27,2.213333333,7350,450,2250,4650,18150,1641
1783240,2009,62,66,4050,1,500,4050,35,1.679012346,4050,162,1782,2106,10854,-4
211672,21423,94,15,55212,2,703,55212,189,4.161214953,55212,856,23112,31244,132252,79
339428,12456,267,23,1957750,9.926829268,15436.39024,1957750,52,2.816,1957750,215250,656000,1086500,5863000,244
3616148,3784,40,2,4785,0,295,4785,32,2.137931034,4785,145,2610,2030,13920,38
3908710,1475,850,34,8432,1.25,591.75,8432,31,1.241935484,8432,248,2480,5704,18104,816
27073,6475,53,7,11466,3.333333333,1066,11466,34,6.164835165,11466,546,5187,5733,31941,46
1220355,10863,900,13,197478,1.5,646.6666667,197478,198,1.582809224,197478,5724,65826,125928,446472,887
4841794,1881,571,2473,61503,1.526315789,1365.421053,61503,28,1.717948718,61503,7410,21489,32604,192660,-1902
2652524,9209,2792,23,534240,9.805555556,14467.22222,534240,30,4.716981132,534240,61056,190800,282384,1656144,2769
168352,30984,1342,41,212400,3.5,1440.75,212400,152,9.633898305,212400,9440,88500,114460,562860,1301
2152440,5937,42,55,157182,1.882352941,1651.882353,157182,66,3.253623188,157182,2346,63342,91494,368322,-13
135050,7900,476,19,299520,14.4,14480.75,299520,54,2.6875,299520,14400,115200,169920,774720,457
5006866,4765,1141,10,22914,0.333333333,179.3333333,22914,73,2.470149254,22914,0,9246,13668,50652,1131
2559859,1466,193,9,5664,2.666666667,2203.333333,5664,23,1.525423729,5664,0,1947,3717,11505,184
1804173,20777,3485,127,6644148,5.909774436,3537.315789,6644148,51,6.922651934,6644148,264803,2503592,3875753,16538151,3358
1230123,5340,1206,4,345600,2.96875,3667.03125,345600,44,3.046296296,345600,24192,124416,196992,936576,1202
4969916,4188,335,48,3787056,0.63800905,1458.085973,3787056,28,0.865079365,3787056,194922,1169532,2422602,9049950,287
1455028,7328,1049,166,2084996,3.434782609,4756.956522,2084996,81,1.716763006,2084996,175076,700304,1209616,5761592,883
3664021,1508,17,1,1540,2,1914,1540,27,1.6,1540,0,550,990,3190,16
4445625,2035,80,1,35632,1,641.875,35632,42,0.854961832,35632,1048,13624,20960,85936,79
953496,5842,986,64,952476,1.310344828,2262.637931,952476,37,3.02484472,952476,56028,373520,522928,2577288,922
2456918,2772,3501,243,1742976,0.715686275,797.0392157,1742976,37,0.713483146,1742976,108936,562836,1071204,4411908,3258
6749661,1256,120,40,2013,1,320,2013,20,1.278688525,2013,0,671,1342,4026,80
750593,4798,417,24,66360,11.71428571,14665.14286,66360,53,2.533333333,66360,2520,27720,36120,172200,393
4383667,2626,638,7,1523340,0.722084367,844.2878412,1523340,30,0.285714286,1523340,56420,366730,1100190,3131310,631
1080425,4913,2025,24,39955,14.2,20142.6,39955,48,2.076335878,39955,1965,15720,22270,104800,2001
25398,32025,575,52,995076,4.083333333,4621.416667,995076,222,4.273301738,995076,30384,463356,501336,2658600,523
447341,14813,596,24,4879255,4.647058824,4829.223529,4879255,201,1.890214797,4879255,213690,1745135,2920430,12037870,572
765890,7723,302,174,137700,5,3409.5,137700,103,2.231372549,137700,3060,55080,79560,330480,128
2127467,4588,72,110,7056,6.25,1475.25,7056,22,13.75,7056,112,2576,4368,15792,-38
2688970,1022,25,3,4275,0,988,4275,26,0.894736842,4275,171,1197,2907,9405,22
1134719,1823,18,19,2952,-1,167,2952,51,0.804878049,2952,123,1353,1476,8118,-1
4433555,851,464,20,118726,0.448275862,996.6896552,118726,18,0.382022472,118726,2581,30972,85173,234871,444
686015,2276,66,78,20664,6.142857143,11959.42857,20664,22,1.888888889,20664,504,10080,10080,55440,-12
299708,1515,407,14,10680,2.666666667,2452.333333,10680,32,0.853932584,10680,267,3738,6675,24297,393
847269,26912,1460,541,1283454,3,2484.666667,1283454,459,1.512678288,1283454,34074,442962,806418,2919006,919
7158959,6139,849,1199,1440780,0.383333333,636.95,1440780,198,0.665847666,1440780,73260,415140,952380,3345540,-350
5165306,1322,120,17,782,3,181,782,18,1.97826087,782,0,368,414,1886,103
105382,9600,436,35,128180,40.61538462,14643.46154,128180,48,2.99137931,128180,6032,51272,70876,336284,401
230390,16006,1177,12,27588,6.333333333,1732,27588,37,18.60526316,27588,684,11400,15504,67944,1165
1237141,6878,359,78,645408,2.691358025,1460.777778,645408,33,5.156626506,645408,20169,228582,396657,1512675,281
913139,2165,38,28,9768,0.5,1010,9768,55,1.081081081,9768,444,3774,5550,25086,10
70945,7009,486,13,1991040,3.078125,4809.84375,1991040,57,1.337704918,1991040,58560,819840,1112640,4977600,473
55774,55471,1019,102,4128705,9.266666667,4746.733333,4128705,289,4.41923436,4128705,144585,1574370,2409750,10153080,917
41153,8860,4876,11,401200,2.85,5231.95,401200,30,4.676470588,401200,17000,159800,224400,1033600,4865
1602990,4233,67,1,13320,0.666666667,1592.666667,13320,53,2.733333333,13320,360,6120,6840,34920,66
24995,93131,2704,234,3916080,5.833333333,3731.833333,3916080,307,9.125510204,3916080,235200,1693440,1987440,11113200,2470
1824574,3579,29,1,31570,2.818181818,1291.454545,31570,41,3.7,31570,1540,12320,17710,82390,28
25727,15614,1159,31,636510,5.933333333,4964,636510,155,2.757505774,636510,32475,220830,383205,1591275,1128
1603383,4680,82,4,12932,4.5,2135.25,12932,23,6.540983607,12932,244,5612,7076,31964,78
8217180,5240,416,111,24750,16.66666667,823.3333333,24750,41,4.786666667,24750,450,9450,14850,57150,305
1440057,4892,286,594,360528,1.035714286,1618.321429,360528,80,1.337837838,360528,18648,149184,192696,975912,-308
1635144,2506,47,10,20748,1,2310.5,20748,28,1.308270677,20748,0,8512,12236,46284,37
809384,8301,837,33,1334400,4.510416667,2855.90625,1334400,31,3.28,1334400,76800,470400,787200,3436800,804
167435,3959,81,14,70312,5.636363636,3569.363636,70312,18,4.680851064,70312,2068,24816,43428,163372,67
2175365,659,204,259,8250,0.2,348.6,8250,21,0.484848485,8250,330,1980,5940,17160,-55
1855126,3420,1566,51,13832,1,831,13832,70,1.69924812,13832,266,4256,9310,28994,1515
166235,13365,831,92,204360,26.93333333,2403.6,204360,37,8.198473282,204360,9825,82530,112005,540375,739
13257,22849,294,21,445179,10.72413793,5945.275862,445179,35,14.00775194,445179,22446,202014,220719,1253235,273
1908677,5592,966,890,21756,9,3732.666667,21756,39,5.216216216,21756,888,7770,13098,53058,76
1817640,7826,626,29,1442289,2.978723404,5200.70922,1442289,27,7.79245283,1442289,97149,448380,896760,3661770,597
4142811,6589,1175,95,3576430,1.902097902,2337.874126,3576430,60,1.458536585,3576430,293150,1113970,2169310,9556690,1080
7894709,620,14,8,3440,2.5,1432.75,3440,18,0.441860465,3440,0,1032,2408,6536,6
193545,10110,618,29,2156490,2.911111111,3753.933333,2156490,65,3.414965986,2156490,105840,740880,1309770,5331690,589
264257,7371,857,42,191520,7.571428571,6204.071429,191520,66,4.111111111,191520,4032,88704,98784,493920,815
151682,4600,213,24,148428,7.677419355,14485.45161,148428,26,4.904761905,148428,5208,52080,91140,351540,189
468570,6995,263,3,79430,1.230769231,2724,79430,26,6.5,79430,3666,26884,48880,193076,260
14804838,1754,38,35,3078,0.5,37.5,3078,38,0.703703704,3078,162,324,2592,5508,3
6630644,4415,671,62,219120,3.625,1675,219120,31,2.427272727,219120,10560,76560,132000,543840,609
672827,4336,298,7,253561,3.324324324,2662.486486,253561,38,3.38961039,253561,5698,82621,165242,552706,291
2343305,3291,698,33,334196,1.310344828,1936.172414,334196,63,1.298507463,334196,15544,132124,186528,870464,665
584674,12475,1833,1136,938304,7.625,3476.375,938304,20,6.456790123,938304,31104,414720,492480,2462400,697
10024696,630,58,2,9882,0.333333333,501,9882,20,0.31147541,9882,0,2745,7137,18117,56
1066244,1036,152,4,3306,3.5,2391,3306,22,1.070175439,3306,0,912,2394,6042,148
16343464,112653,4286,99,1703856,0.666666667,427,1703856,3218,1.178339015,1703856,174258,425964,1103634,4550070,4187
2246272,2219,1307,85,78336,0.25,797.75,78336,55,0.828125,78336,3072,29184,46080,193536,1222
1846814,7519,1660,108,2216214,2.963414634,3883.073171,2216214,36,2.042328042,2216214,108486,790398,1317330,5563782,1552
1229001,2612,269,1,843024,1.062176166,2106.891192,843024,20,0.358974359,843024,52689,263445,526890,2107560,268
936832,45375,3630,183,3089540,4.4,3331,3089540,948,1.74797219,3089540,172600,1190940,1726000,8215760,3447
6087422,1074,354,109,23868,-2.61E-17,241.3333333,23868,34,0.274509804,23868,918,7344,15606,54162,245
9272654,4950,46,17,17760,0.5,2679.5,17760,96,1.789189189,17760,370,4810,12580,35520,29
1489378,9631,521,5,21713508,1.751028807,4927.960905,21713508,43,1.056179775,21713508,2378970,6747624,12586914,63367110,516
4114297,1798,127,8,4200,4,1705,4200,36,1.766666667,4200,0,1800,2400,9600,119
3651529,5845,823,321,235144,1.153846154,709,235144,131,1.353383459,235144,10374,89908,134862,598234,502
424677,4102,64,7,239616,3.448717949,4507.320513,239616,24,3.6875,239616,14976,94848,129792,658944,57
878700,2375,4,4,234850,2.049180328,1503.721311,234850,34,0.814285714,234850,17080,93940,123830,670390,0
143725,14401,174,23,254176,10.21276596,6271.425532,254176,24,18.03846154,254176,21996,97760,134420,745420,151
561690,6488,581,15,361680,3.393939394,3078.484848,361680,48,3.102189781,361680,27126,131109,203445,999141,566
8803619,15781,130,6,91188,108.1666667,35042.83333,91188,82,5.100671141,91188,7152,38442,45594,270882,124
4333844,1123,242,1,4836,1,679.3333333,4836,24,0.85483871,4836,186,1674,2976,11532,241
6886345,3601,2196,27,142296,2.636363636,1360.5,142296,40,2.964285714,142296,3696,49896,88704,325248,2169
3840401,3299,320,10,4318,3,1327,4318,60,1.755905512,4318,0,1651,2667,9271,310
612304,11219,673,365,135456,14.76470588,6634.705882,135456,39,8.21875,135456,6528,52224,76704,350880,308
493038,2817,37,16,11880,0.5,841.5,11880,45,0.972222222,11880,360,5400,6120,31320,21
747749,2661,142,13,38880,1.5,445.25,38880,24,2.345679012,38880,1296,15552,22032,97200,129
726230,10391,502,19,54984,3.166666667,1427.166667,54984,49,8.051724138,54984,2784,25752,26448,157296,483
6000629,4776,185,15,84564,1.333333333,5827.888889,84564,71,2.724137931,84564,6264,30276,48024,231768,170
470005,226817,4325,851,37676780,17.8,4159.3,37676780,2345,4.815117959,37676780,1620060,17405260,18651460,104473100,3474
1658617,21261,731,241,3075192,3.826086957,961.7391304,3075192,284,2.227786753,3075192,113896,1025064,1936232,7175448,490
146821,36663,531,203,2764800,10.875,6383.75,2764800,36,16.52666667,2764800,158400,1080000,1526400,7430400,328
6790948,9247,154,16,152190,4.5,2758.3,152190,82,4.187134503,152190,6840,51300,94050,367650,138
787704,1013,233,1,1767,0.666666667,1252,1767,18,1.967741935,1767,0,558,1209,3441,232
3954379,6359,672,1040,52560,22.83333333,7951.5,52560,58,2.983333333,52560,2880,19440,30240,136800,-368
1827903,17730,407,92,4191138,3.051724138,1270.844828,4191138,233,1.993855607,4191138,151032,1472562,2567544,9968112,315
1941466,3027,89,17,19604,0.75,441,19604,49,1.224852071,19604,0,8112,11492,43940,72
4510224,1366,50,12,36720,2.166666667,9238.416667,36720,27,0.635294118,36720,2040,13260,21420,94860,38
19839,23379,278,2,285000,64.26315789,42809.36842,285000,46,8.375,285000,34200,123120,127680,962160,276
3738356,2266,1018,25,217500,1.189655172,883.0344828,217500,22,1.573333333,217500,0,82650,134850,465450,993
3421084,1459,347,10,241546,0.565217391,2033.456522,241546,28,0.617977528,241546,4094,81880,155572,524032,337
1811992,94240,2723,427,14738284,12.81081081,13779.67568,14738284,537,9.825030377,14738284,943981,6394710,7399593,42418243,2296
5167909,7239,79,36,25596,2,2430,25596,143,1.212025316,25596,1580,8848,15168,66360,43
1551411,6795,726,126,142044,10.33333333,15993,142044,98,1.669172932,142044,4788,57456,79800,357504,600
6935152,2287,187,14,27840,0.833333333,771.1666667,27840,62,0.836206897,27840,696,10440,16704,65424,173
4635829,1375,38,2,2668,1,129,2668,31,0.782608696,2668,92,1196,1380,7084,36
632375,4100,71,17,291600,4.022222222,5883.711111,291600,31,3.024691358,291600,18225,112995,160380,794610,54
3352645,2950,58,7,93024,1.578947368,2574.578947,93024,47,1.735294118,93024,7752,31008,54264,255816,51
1215251,6253,443,72,24072,7.333333333,3122,24072,62,3.522058824,24072,816,9384,13872,59568,371
102793,4155,85,13,56232,11.22222222,5663.222222,56232,33,4.227272727,56232,2376,27720,26136,160776,72
131242,2006,1680,3,80178,1.130434783,1489.086957,80178,24,1.120481928,80178,1909,28635,49634,183264,1677
621686,4923,168,10,145920,7.5,6409.4375,145920,22,3.616666667,145920,7680,55680,82560,382080,158
5358255,2916,25,1,232200,0.866666667,1155.6,232200,50,0.994186047,232200,10320,82560,139320,572760,24
7383731,560,82,43,1748,0.5,43,1748,18,0.260869565,1748,0,460,1288,3128,39
3580870,14262,799,13,135168,3.833333333,737.5,135168,201,3.073863636,135168,4224,44352,86592,306240,786
1222420,8754,247,29,75075,6.266666667,4616.866667,75075,32,3.935064935,75075,4620,27720,42735,199815,218
5645988,7791,263,0,37674,0.666666667,674.6666667,37674,112,2.084249084,37674,1638,13104,22932,91728,263
8772744,3039,1192,167,46200,0.666666667,229.3333333,46200,31,0.5,46200,3360,15960,26880,124320,1025
138578,37799,1373,124,10893792,8.905172414,4739.112069,10893792,129,7.308139535,10893792,558656,3910592,6424544,27653472,1249
20195,2390,447,22,69608,3.363636364,1470.363636,69608,22,3.150442478,69608,1243,26103,42262,159104,425
1269907,2407,171,26,430144,1.375,3336.352273,430144,21,1.384615385,430144,22880,160160,247104,1116544,145
5812455,20544,1517,1977,88298,1,611,88298,389,1.901617251,88298,3710,34874,49714,226310,-460
3878764,3556,55,8,239940,3.225806452,2754.790323,239940,24,2.422222222,239940,8370,75330,156240,541260,47
7533349,3329,463,13,145800,0.083333333,314.6666667,145800,108,0.58436214,145800,5832,49572,90396,347004,450
517298,3306,246,4,17220,2.666666667,467.6666667,17220,36,3.685714286,17220,0,7980,9240,41160,242
7978627,1602,90,7,12236,1.25,75,12236,47,0.503759398,12236,532,3724,7980,28196,83
13675289,2102,118,4,2210,0,2581,2210,43,1.470588235,2210,255,765,1190,6800,114
64009,4653,94,13,10653,2.666666667,697.6666667,10653,37,6.716981132,10653,0,4611,6042,24486,81
1239263,8888,114,98,108900,8.4,4936.3,108900,34,6.173553719,108900,7260,42350,59290,301290,16
427784,5695,484,17,2026350,2.532163743,2265.777778,2026350,37,1.518987342,2026350,135090,715977,1175283,5390091,467
1399456,8625,982,87,4381020,2.255555556,2302.611111,4381020,139,1.131147541,4381020,230580,1537200,2613240,11067840,895
3679900,8867,8612,76,2015152,4.431034483,4998.655172,2015152,70,2.559405941,2015152,117160,538936,1359056,4686400,8536
1341538,1827,222,29,2176,3,229,2176,21,2,2176,0,1088,1088,5440,193
992563,2227,45,1,1596,1,366,1596,36,1.894736842,1596,0,760,836,3876,44
5602923,2345,665,7,3016,1,173,3016,60,1.112068966,3016,116,1276,1624,7888,658
2057925,819,2,1,812,0,2479,812,32,0.568965517,812,58,290,464,2204,1
1128737,13364,1884,15475,22352,25.5,23062.5,22352,40,9.886363636,22352,1584,9680,11088,65648,-13591
2214440,3665,393,24,18876,1.75,501.5,18876,75,1.636363636,18876,572,6864,11440,44616,369
6605742,1706,57,8,1089,3,2468,1089,26,3.636363636,1089,0,462,627,2475,49
2975952,6799,3472,260,2259900,1.580246914,1819.419753,2259900,66,1.782222222,2259900,145800,856575,1257525,6141825,3212
47057,2891,24,2,2924,1,1723,2924,25,2.38372093,2924,86,1548,1290,8342,22
776409,4144,154,40,4422,58,57045,4422,27,4.462686567,4422,134,1742,2546,10854,114
32241,3781,1399,21,13851,1.333333333,2247.333333,13851,34,2.851851852,13851,243,5832,7776,33534,1378
3566491,4108,39,6,30240,9.166666667,3805.833333,30240,27,5.511111111,30240,540,11340,18360,69120,33
3084205,5866,129,46,151632,2.916666667,2087.5,151632,48,3.044871795,151632,3744,61776,86112,370656,83
4898274,1964,1101,26,87096,0.75,385,87096,22,0.633507853,87096,0,34380,52716,190236,1075
27667,9615,194,1,179520,4.291666667,2362.333333,179520,31,9.102272727,179520,10560,71808,97152,489984,193
4488070,2312,125,50,36000,1.111111111,697.5555556,36000,39,1.48,36000,1800,12600,21600,90000,75
1268844,7737,32,43,182700,12.08333333,10977,182700,39,2.073891626,182700,12180,70644,99876,504252,-11
368137,1646,34,1,2750,14.5,717.5,2750,29,1.490909091,2750,0,990,1760,5720,33
38210,2584,141,86,11336,2,10717,11336,45,1.302752294,11336,654,5232,5450,32918,55
5237917,2015,330,151,98000,1.56,903.44,98000,18,1.457142857,98000,0,31500,66500,192500,179
1144157,13567,5881,5,955460,3.454545455,5182.318182,955460,80,2.215841584,955460,66660,388850,499950,2721950,5876
6413387,2177,175,13,79464,4.181818182,2803.090909,79464,32,0.726190476,79464,9240,25872,44352,240240,162
5799945,1278,336,95,2736,1,6086,2736,21,0.958333333,2736,72,1080,1584,6624,241
317255,3943,237,23,1297296,1.833333333,4159.307692,1297296,32,1.477272727,1297296,51480,432432,813384,3057912,214
160699,3206,230,17,11151,20.66666667,10958.66667,11151,20,27.52542373,11151,354,5664,5133,31329,213
3680098,13418,2338,175,10285002,2.316239316,2292.811966,10285002,205,1.423076923,10285002,702702,3257982,6324318,26383266,2163
3688648,7160,348,63,1052315,1.943396226,935.6226415,1052315,71,2.483253589,1052315,22154,376618,653543,2381555,285
640224,5633,307,1,240900,3.6,950.36,240900,59,2.712121212,240900,0,92400,148500,518100,306
